"seed","dataset","model","bias_level","accuracy","error_rate","PR_gap","TPR_gap","Error_gap"
27,"simulated","logistic_regression","balanced",0.699,0.301,0.108,0.0866562672646323,0.002
27,"simulated","logistic_regression","mild",0.695,0.305,0.096,0.0780767605862663,0.002
27,"simulated","logistic_regression","moderate",0.699,0.301,0.112,0.0918397192161451,0.002
27,"simulated","logistic_regression","severe",0.703,0.297,0.116,0.075216925026811,0.022
27,"simulated","decision_tree","balanced",0.68,0.32,0.038,0.0136167170387703,0.032
27,"simulated","decision_tree","mild",0.671,0.329,0.144,0.0979656169770238,0.034
27,"simulated","decision_tree","moderate",0.668,0.332,0.114,0.0884761626206494,0.012
27,"simulated","decision_tree","severe",0.668,0.332,0.15,0.15110006174645,0.004
27,"simulated","random_forest","balanced",0.693,0.307,0.124,0.127473920249586,0.022
27,"simulated","random_forest","mild",0.701,0.299,0.124,0.111322348964934,0.00600000000000001
27,"simulated","random_forest","moderate",0.68,0.32,0.106,0.116505800916447,0.024
27,"simulated","random_forest","severe",0.687,0.313,0.088,0.0518995157778428,0.022
28,"simulated","logistic_regression","balanced",0.658,0.342,0.068,0.0781596452328159,0.00399999999999995
28,"simulated","logistic_regression","mild",0.658,0.342,0.064,0.0711382113821137,0
28,"simulated","logistic_regression","moderate",0.658,0.342,0.076,0.0884146341463415,0.00799999999999995
28,"simulated","logistic_regression","severe",0.661,0.339,0.11,0.134977827050998,0.022
